Group No;Group Name;Name;Sub Name;Repeater Call Sign;Gateway Call Sign;Frequency;Dup;Offset;Mode;TONE;Repeater Tone;RPT1USE;Position;Latitude;Longitude;UTC Offset;
48;Poland;GoraSzrenica;JO70ST;SR6J;;145,675000;DUP-;0,600000;FM;TONE;67,0Hz;Yes;Approximate;50,790000;15,510000;+1:00;145,67500000
48;Poland;GoraKopa;JO70UR;SR6JG;;438,675000;DUP-;7,600000;FM;TONE;67,0Hz;Yes;Approximate;50,740000;15,720000;+1:00;438,67500000
48;Poland;Jugow;JO80GP;SR6K;;145,737500;DUP-;0,600000;FM;OFF;;Yes;Approximate;50,630000;16,530000;+1:00;145,73750000
48;Poland;WielkaSowa;JO80FQ;SR6LWS;;439,287500;DUP-;7,600000;FM;TONE;94,8Hz;Yes;Approximate;50,680000;16,480000;+1:00;439,28750000
48;Poland;Zmigrod;JO81KL;SR6LZM;;438,600000;DUP-;7,600000;FM;TONE;103,5Hz;Yes;Approximate;51,470000;16,900000;+1:00;438,60000000
48;Poland;GoraSleza;JO80IU;SR6MA;;438,725000;DUP-;7,600000;FM;TONE;94,8Hz;Yes;Approximate;50,860000;16,700000;+1:00;438,72500000
48;Poland;Wroclaw;JO81MD;SR6MRU;;439,300000;DUP-;7,600000;FM;OFF;;Yes;Approximate;51,140000;17,030000;+1:00;439,30000000
48;Poland;NowaRudaSlupiec;JO80GM;SR6NR;;439,425000;DUP-;7,600000;FM;TONE;94,8Hz;Yes;Approximate;50,530000;16,560000;+1:00;439,42500000
48;Poland;Olawa;JO80PW;SR6OA;;438,875000;DUP-;7,600000;FM;TONE;123,0Hz;Yes;Approximate;50,940000;17,300000;+1:00;438,87500000
48;Poland;Olesno;JO90EV;SR6OO;;439,250000;DUP-;7,600000;DV;TONE;123,0Hz;Yes;Approximate;50,880000;18,410000;+1:00;439,25000000
48;Poland;Opole;JO80XQ;SR6OP;;439,325000;DUP-;7,600000;FM;TONE;94,8Hz;Yes;Approximate;50,670000;17,950000;+1:00;439,32500000
48;Poland;Swidnica;JO80FU;SR6PS;;438,800000;DUP-;7,600000;FM;TONE;94,8Hz;Yes;Approximate;50,840000;16,480000;+1:00;438,80000000
48;Poland;Wroclaw;JO81MC;SR6R;;145,600000;DUP-;0,600000;FM;TONE;103,5Hz;Yes;Approximate;51,100000;17,040000;+1:00;145,60000000
48;Poland;WielkaSowa;JO80FQ;SR6S;;145,787500;DUP-;0,600000;FM;TONE;94,8Hz;Yes;Approximate;50,680000;16,480000;+1:00;145,78750000
48;Poland;Boklow;JO80AV;SR6TT;;439,225000;DUP-;7,600000;DV;TONE;67,0Hz;Yes;Approximate;50,910000;16,010000;+1:00;439,22500000
48;Poland;KopaBiskupia;JO80RG;SR6UKB;;439,262500;DUP-;7,600000;DV;TONE;94,8Hz;Yes;Approximate;50,250000;17,420000;+1:00;439,26250000
48;Poland;PrzeleczKarkonoska;JO70TS;SR6UPK B;SR6UPK G;438,537500;DUP-;7,600000;DV;TONE;67,0Hz;Yes;Approximate;50,760000;15,630000;+1:00;438,53750000
48;Poland;ElektrowniaOpole;JO80WS;SR6UVO B;SR6UVO G;439,387500;DUP-;7,600000;DV;TONE;94,8Hz;Yes;Approximate;50,750000;17,880000;+1:00;439,38750000
48;Poland;Wroclaw;JO81MC;SR6UVW B;SR6UVW G;439,012500;DUP-;7,600000;DV;OFF;;Yes;Approximate;51,110000;17,060000;+1:00;439,01250000
48;Poland;Zmigrod;JO81KL;SR6UVX;;439,412500;DUP-;7,600000;DV;TONE;103,5Hz;Yes;Approximate;51,470000;16,900000;+1:00;439,41250000
48;Poland;Olawa;JO80PW;SR6UVY B;SR6UVY G;439,212500;DUP-;7,600000;DV;OFF;;Yes;Approximate;;;+1:00;439,21250000
48;Poland;Walbrzych;JO80DT;SR6W;;145,662500;DUP-;0,600000;FM;TONE;94,8Hz;Yes;Approximate;50,820000;16,270000;+1:00;145,66250000
48;Poland;Walbrzych;JO80DT;SR6WB;;439,362500;DUP-;7,600000;FM;TONE;94,8Hz;Yes;Approximate;;;+1:00;439,36250000
48;Poland;Wroclaw;JO81LC;SR6WR;;438,850000;DUP-;7,600000;FM;TONE;103,5Hz;Yes;Approximate;51,110000;16,950000;+1:00;438,85000000
48;Poland;WielkaSowa;JO80FQ;SR6WS;;438,925000;DUP-;7,600000;FM;TONE;94,8Hz;Yes;Approximate;50,680000;16,480000;+1:00;438,92500000
48;Poland;GoraSwieradowiec;JO70PV;SR6Z;;145,637500;DUP-;0,600000;FM;TONE;67,0Hz;Yes;Approximate;50,880000;15,320000;+1:00;145,63750000
48;Poland;BuskoZdroj;KO00IL;SR7ABZ;;145,275000;DUP-;0,600000;FM;TONE;88,5Hz;Yes;Approximate;;;+1:00;145,27500000
48;Poland;BuskoZdroj;KO00IL;SR7DBZ;;438,562500;DUP-;7,600000;FM;OFF;;Yes;Approximate;;;+1:00;438,56250000
48;Poland;Belchatow;JO91PG;SR7E;;145,762500;DUP-;0,600000;FM;TONE;77,0Hz;Yes;Approximate;51,260000;19,320000;+1:00;145,76250000
48;Poland;BuskoZdroj;KO00JL;SR7KGO;;145,275000;DUP-;0,600000;FM;TONE;88,5Hz;Yes;Approximate;50,470000;20,750000;+1:00;145,27500000
48;Poland;SwietyKrzyz;KO00MU;SR7KI;;438,725000;DUP-;7,600000;FM;TONE;88,5Hz;Yes;Approximate;50,860000;21,040000;+1:00;438,72500000
48;Poland;Kielce;KO00HV;SR7KP;;439,425000;DUP-;7,600000;FM;TONE;88,5Hz;Yes;Approximate;50,890000;20,660000;+1:00;439,42500000
48;Poland;Kutno;JO92QF;SR7KU;;438,925000;DUP-;7,600000;FM;TONE;82,5Hz;Yes;Approximate;52,230000;19,370000;+1:00;438,92500000
48;Poland;Lodz;JO91SS;SR7L;;145,675000;DUP-;0,600000;FM;TONE;77,0Hz;Yes;Approximate;51,770000;19,50000;+1:00;145,67500000
48;Poland;Lodz;JO91SS;SR7LD;;439,075000;DUP-;7,600000;FM;TONE;77,0Hz;Yes;Approximate;51,770000;19,50000;+1:00;439,07500000
48;Poland;Lodz;JO91SS;SR7LDZ;;438,350000;DUP-;7,600000;FM;TONE;77,0Hz;Yes;Approximate;51,770000;19,50000;+1:00;438,35000000
48;Poland;OstrowiecSwietokrzyski;KO00QW;SR7OS;;439,475000;DUP-;7,600000;FM;TONE;71,9Hz;Yes;Approximate;;;+1:00;439,47500000
48;Poland;Baltow;KO01SA;SR7PB;;438,650000;DUP-;7,600000;FM;TONE;118,8Hz;Yes;Approximate;51,010000;21,540000;+1:00;438,65000000
48;Poland;Skierniewice;KO01BX;SR7SC;;439,325000;DUP-;7,600000;FM;TONE;118,8Hz;Yes;Approximate;51,970000;20,140000;+1:00;439,32500000
48;Poland;Sieradz;JO91IO;SR7SI;;438,825000;DUP-;7,600000;FM;TONE;77,0Hz;Yes;Approximate;51,590000;18,690000;+1:00;438,82500000
48;Poland;Staszow;KO00MN;SR7ST;;439,150000;DUP-;7,600000;FM;TONE;110,9Hz;Yes;Approximate;50,550000;21,070000;+1:00;439,15000000
48;Poland;Zlota;KO00HJ;SR7TCW;;438,125000;DUP-;7,600000;FM;OFF;;Yes;Approximate;50,380000;20,590000;+1:00;438,12500000
48;Poland;TomaszowMazowiecki;KO01AN;SR7TM;;438,675000;DUP-;7,600000;FM;TONE;118,8Hz;Yes;Approximate;51,540000;20,040000;+1:00;438,67500000
48;Poland;Lodz;JO91SS;SR7UAL;;438,650000;DUP-;7,600000;DV;OFF;;Yes;Approximate;51,780000;19,530000;+1:00;438,65000000
48;Poland;Skierniewice;KO01BX;SR7USC;;439,250000;DUP-;7,600000;DV;OFF;;Yes;Approximate;51,970000;20,140000;+1:00;439,25000000
48;Poland;TomaszowMazowiecki;KO01AN;SR7UTM;;439,100000;DUP-;7,600000;DV;OFF;;Yes;Approximate;51,540000;20,040000;+1:00;439,10000000
48;Poland;LysaGora;KO00MU;SR7UVK B;SR7UVK G;439,125000;DUP-;7,600000;DV;OFF;;Yes;Approximate;50,860000;21,040000;+1:00;439,12500000
48;Poland;Lodz;JO91SS;SR7UVL B;SR7UVL G;439,450000;DUP-;7,600000;DV;OFF;;Yes;Approximate;51,780000;19,530000;+1:00;439,45000000
48;Poland;GoraKamiensk;JO91RE;SR7UVV;;439,487500;DUP-;7,600000;DV;OFF;;Yes;Approximate;51,200000;19,430000;+1:00;439,48750000
48;Poland;Czastary;JO91DG;SR7UWI;;438,525000;DUP-;7,600000;DV;OFF;;Yes;Approximate;51,250000;18,320000;+1:00;438,52500000
48;Poland;SwietyKrzyz;KO00MU;SR7V;;145,625000;DUP-;0,600000;FM;TONE;88,5Hz;Yes;Approximate;50,860000;21,040000;+1:00;145,62500000
48;Poland;GoraKamiensk;JO91RE;SR7VV;;439,112500;DUP-;7,600000;FM;TONE;77,0Hz;Yes;Approximate;51,200000;19,430000;+1:00;439,11250000
48;Poland;Lodz;JO91RS;SR7Z;;145,600000;DUP-;0,600000;FM;TONE;77,0Hz;Yes;Approximate;;;+1:00;145,60000000
48;Poland;ZdunskaWola;JO91LO;SR7ZD;;438,900000;DUP-;7,600000;FM;TONE;77,0Hz;Yes;Approximate;51,590000;18,970000;+1:00;438,90000000
48;Poland;Zgierz;JO91QU;SR7ZG;;438,950000;DUP-;7,600000;FM;TONE;77,0Hz;Yes;Approximate;51,840000;19,410000;+1:00;438,95000000
48;Poland;Domaradz;KN09XT;SR8AGA;;439,350000;DUP-;7,600000;FM;TONE;103,5Hz;Yes;Approximate;49,810000;21,990000;+1:00;439,35000000
48;Poland;BialaPodlaska;KO12NA;SR8AVB;;439,012500;DUP-;7,600000;DV;OFF;;Yes;Approximate;52,030000;23,140000;+1:00;439,01250000
48;Poland;Lezajsk;KO10EF;SR8B;;145,787500;DUP-;0,600000;FM;TONE;71,9Hz;Yes;Approximate;50,240000;22,400000;+1:00;145,78750000
48;Poland;BereznicaWyzna;KN19EI;SR8BB;;438,875000;DUP-;7,600000;FM;TONE;103,5Hz;Yes;Approximate;49,330000;22,350000;+1:00;438,87500000
48;Poland;BialaPodlaska;KO12MA;SR8BD;;438,875000;DUP-;7,600000;FM;TONE;103,5Hz;Yes;Approximate;52,030000;23,070000;+1:00;438,87500000
48;Poland;ChotyczeLosice;KO12JE;SR8BP;;438,650000;DUP-;7,600000;FM;TONE;79,7Hz;Yes;Approximate;52,180000;22,780000;+1:00;438,65000000
48;Poland;Chelm;KO11RD;SR8CH;;438,675000;DUP-;7,600000;FM;TONE;77,0Hz;Yes;Approximate;51,130000;23,470000;+1:00;438,67500000
48;Poland;ChotyczeLosice;KO12JE;SR8D;;145,650000;DUP-;0,600000;FM;TONE;79,7Hz;Yes;Approximate;52,180000;22,780000;+1:00;145,65000000
48;Poland;Debica;KO00QB;SR8DEF;;438,425000;DUP-;7,600000;FM;TONE;103,5Hz;Yes;Approximate;50,050000;21,390000;+1:00;438,42500000
48;Poland;DrohobyczkaDubiecko;KN19EV;SR8DU;;439,000000;DUP-;7,600000;FM;TONE;71,9Hz;Yes;Approximate;49,880000;22,380000;+1:00;439,00000000
48;Poland;Sanok;KN19CN;SR8ET;;439,200000;DUP-;7,600000;FM;TONE;71,9Hz;Yes;Approximate;49,560000;22,200000;+1:00;439,20000000
48;Poland;Jaroslaw;KO10IA;SR8J;;145,700000;DUP-;0,600000;FM;OFF;;Yes;Approximate;50,000000;22,710000;+1:00;145,70000000
48;Poland;Jaroslaw;KO10IA;SR8JR;;439,250000;DUP-;7,600000;FM;TONE;67,0Hz;Yes;Approximate;50,000000;22,710000;+1:00;439,25000000
48;Poland;Jaslo;KN09QT;SR8JS;;438,800000;DUP-;7,600000;FM;TONE;103,5Hz;Yes;Approximate;49,810000;21,350000;+1:00;438,80000000
48;Poland;DrohobyczkaDubiecko;KN19EV;SR8K;;145,600000;DUP-;0,600000;FM;TONE;71,9Hz;Yes;Approximate;49,880000;22,380000;+1:00;145,60000000
48;Poland;Krosno;KN09VQ;SR8KN;;438,925000;DUP-;7,600000;FM;TONE;103,5Hz;Yes;Approximate;49,690000;21,750000;+1:00;438,92500000
48;Poland;LezajskGiedlarowa;KO10FF;SR8KP;;439,575000;DUP-;7,600000;FM;TONE;71,9Hz;Yes;Approximate;50,220000;22,420000;+1:00;439,57500000
48;Poland;SuchaGora;KN09VS;SR8KR;;438,625000;DUP-;7,600000;FM;TONE;103,5Hz;Yes;Approximate;49,750000;21,810000;+1:00;438,62500000
48;Poland;Lublin;KO11HA;SR8L;;145,675000;DUP-;0,600000;FM;TONE;67,0Hz;Yes;Approximate;51,000000;22,650000;+1:00;145,67500000
48;Poland;Lublin;KO11HA;SR8LBD;;438,575000;DUP-;7,600000;FM;TONE;77,0Hz;Yes;Approximate;51,000000;22,650000;+1:00;438,57500000
48;Poland;Krasnik;KO10BX;SR8LKR;;438,550000;DUP-;7,600000;FM;TONE;67,0Hz;Yes;Approximate;50,960000;22,150000;+1:00;438,55000000
48;Poland;Lubartow;KO11HL;SR8LLB;;439,250000;DUP-;7,600000;FM;TONE;77,0Hz;Yes;Approximate;51,460000;22,600000;+1:00;439,25000000
48;Poland;Swidnik;KO11IF;SR8LSW;;439,025000;DUP-;7,600000;FM;TONE;110,9Hz;Yes;Approximate;51,220000;22,690000;+1:00;439,02500000
48;Poland;Lublin;KO11HF;SR8LU;;439,050000;DUP-;7,600000;FM;TONE;67,0Hz;Yes;Approximate;51,220000;22,620000;+1:00;439,05000000
48;Poland;Lukow;KO11EW;SR8LW;;438,700000;DUP-;7,600000;FM;TONE;67,0Hz;Yes;Approximate;51,920000;22,360000;+1:00;438,70000000
48;Poland;Przemysl;KN19JS;SR8NP;;145,762500;DUP-;0,600000;FM;TONE;186,2Hz;Yes;Approximate;49,760000;22,750000;+1:00;145,76250000
48;Poland;Kazimierz Dolny;KO01XH;SR8PL;;439,087500;DUP-;7,600000;FM;TONE;118,8Hz;Yes;Approximate;51,320000;21,960000;+1:00;439,08750000
48;Poland;Urszulin;KO11OI;SR8PPN;;438,900000;DUP-;7,600000;FM;TONE;67,0Hz;Yes;Approximate;51,370000;23,230000;+1:00;438,90000000
48;Poland;KazimierzDolny;KO01XH;SR8PU;;438,850000;DUP-;7,600000;FM;TONE;118,8Hz;Yes;Approximate;51,320000;21,960000;+1:00;438,85000000
48;Poland;Rzeszow;KO00XB;SR8R;;145,675000;DUP-;0,600000;FM;TONE;71,9Hz;Yes;Approximate;50,040000;21,970000;+1:00;145,67500000
48;Poland;Boguchwala;KN09XX;SR8RSC;;145,287500;DUP-;0,600000;FM;TONE;71,9Hz;Yes;Approximate;49,990000;21,940000;+1:00;145,28750000
48;Poland;Rzeszow;KN19AX;SR8RZ;;439,250000;DUP-;7,600000;FM;TONE;71,9Hz;Yes;Approximate;;;+1:00;439,25000000
48;Poland;Swidnik;KO11IF;SR8S;;145,712500;DUP-;0,600000;FM;TONE;123,0Hz;Yes;Approximate;51,210000;22,700000;+1:00;145,71250000
48;Poland;Swidnik;KO11IF;SR8SD;;439,325000;DUP-;7,600000;FM;TONE;123,0Hz;Yes;Approximate;51,210000;22,700000;+1:00;439,32500000
48;Poland;Baligrod;KN19DI;SR8U;;145,687500;DUP-;0,600000;FM;OFF;;Yes;Approximate;49,330000;22,290000;+1:00;145,68750000
48;Poland;Chotycze;KO12JE;SR8UVB;;439,412500;DUP-;7,600000;DV;OFF;;Yes;Approximate;52,180000;22,780000;+1:00;439,41250000
48;Poland;Lublin;KO11HF;SR8UVL;;438,825000;DUP-;7,600000;DV;OFF;;Yes;Approximate;51,220000;22,620000;+1:00;438,82500000
48;Poland;KazimierzDolny;KO01XH;SR8UVP;;439,462500;DUP-;7,600000;DV;OFF;;Yes;Approximate;51,320000;21,960000;+1:00;439,46250000
48;Poland;Swidnik;KO11IF;SR8UVS;;438,325000;DUP-;7,600000;DV;OFF;;Yes;Approximate;51,210000;22,700000;+1:00;438,32500000
48;Poland;Wlodawa;KO11SN;SR8UWD;;438,512500;DUP-;7,600000;DV;OFF;;Yes;Approximate;51,550000;23,550000;+1:00;438,51250000
48;Poland;Jaslo;KN09QT;SR8V;;145,612500;DUP-;0,600000;FM;TONE;103,5Hz;Yes;Approximate;49,810000;21,350000;+1:00;145,61250000
48;Poland;Wlodawa;KO11SN;SR8WD;;438,975000;DUP-;7,600000;FM;TONE;103,5Hz;Yes;Approximate;51,540000;23,540000;+1:00;438,97500000
48;Poland;Feliksowka;KO10PO;SR8Z;;145,750000;DUP-;0,600000;FM;TONE;77,0Hz;Yes;Approximate;50,600000;23,260000;+1:00;145,75000000
48;Poland;Feliksowka;KO10PO;SR8ZA;;439,275000;DUP-;7,600000;FM;TONE;77,0Hz;Yes;Approximate;50,600000;23,260000;+1:00;439,27500000
48;Poland;GoraWalTarnow;KN09KV;SR9A;;145,775000;DUP-;0,600000;FM;OFF;;Yes;Approximate;49,880000;20,910000;+1:00;145,77500000
48;Poland;GoraLubomir;KN09AS;SR9AE;;438,825000;DUP-;7,600000;FM;TONE;103,5Hz;Yes;Approximate;49,760000;20,050000;+1:00;438,82500000
48;Poland;GoraZar;JN99OS;SR9ASR;;438,300000;DUP-;7,600000;FM;TONE;74,4Hz;Yes;Approximate;49,780000;19,220000;+1:00;438,30000000
48;Poland;GoraSzyndzielnia;JN99MS;SR9BSR;;438,250000;DUP-;7,600000;FM;TONE;74,4Hz;Yes;Approximate;49,760000;19,000000;+1:00;438,25000000
48;Poland;Czestochowa;JO90NT;SR9CZ;;439,175000;DUP-;7,600000;DV;OFF;;Yes;Approximate;50,810000;19,120000;+1:00;439,17500000
48;Poland;Czestochowa;JO90NS;SR9CZC;;145,337500;DUP-;0,600000;FM;TONE;107,2Hz;Yes;Approximate;50,780000;19,120000;+1:00;145,33750000
48;Poland;Czestochowa;JO90NU;SR9CZE;;439,562500;DUP-;7,600000;FM;TONE;67,0Hz;Yes;Approximate;50,840000;19,130000;+1:00;439,56250000
48;Poland;Wegrzce;JO90XC;SR9DV;;438,325000;DUP-;7,600000;DV;TONE;67,0Hz;Yes;Approximate;50,110000;19,960000;+1:00;438,32500000
48;Poland;Bytom;JO90KI;SR9DX;;145,575000;DUP-;0,600000;FM;TONE;71,9Hz;Yes;Approximate;;;+1:00;145,57500000
48;Poland;SiemianowiceSlaskie;JO90MH;SR9E;;145,725000;DUP-;0,600000;FM;TONE;71,9Hz;Yes;Approximate;50,290000;19,000000;+1:00;145,72500000
48;Poland;Gliwice;JO90HG;SR9GC;;438,925000;DUP-;7,600000;FM;OFF;;Yes;Approximate;;;+1:00;438,92500000
48;Poland;Gorlice;KN09NP;SR9GR;;438,537500;DUP-;7,600000;DV;TONE;162,2Hz;Yes;Approximate;49,660000;21,150000;+1:00;438,53750000
48;Poland;Czestochowa;JO90NT;SR9J;;145,787500;DUP-;0,600000;FM;TONE;123,0Hz;Yes;Approximate;50,810000;19,120000;+1:00;145,78750000
48;Poland;Wlodowice;JO90RM;SR9JK;;438,800000;DUP-;7,600000;FM;TONE;94,8Hz;Yes;Approximate;50,530000;19,420000;+1:00;438,80000000
48;Poland;Siercza;KN09AX;SR9K;;145,750000;DUP-;0,600000;FM;TONE;103,5Hz;Yes;Approximate;49,970000;20,030000;+1:00;145,75000000
48;Poland;Sosnowiec;JO90OH;SR9KD;;438,950000;DUP-;7,600000;FM;TONE;71,9Hz;Yes;Approximate;50,310000;19,190000;+1:00;438,95000000
48;Poland;KrupskiMlyn;JO90HN;SR9KM;;438,975000;DUP-;7,600000;FM;TONE;71,9Hz;Yes;Approximate;;;+1:00;438,97500000
48;Poland;Krakow;JO90XB;SR9KR;;439,275000;DUP-;7,600000;DV;OFF;;Yes;Approximate;50,060000;19,940000;+1:00;439,27500000
48;Poland;Siercza;KN09AX;SR9KS;;438,900000;DUP-;7,600000;FM;TONE;103,5Hz;Yes;Approximate;49,970000;20,030000;+1:00;438,90000000
48;Poland;LimanowaLipowe;KN09EQ;SR9L;;145,687500;DUP-;0,600000;FM;TONE;107,2Hz;Yes;Approximate;49,700000;20,400000;+1:00;145,68750000
48;Poland;Lubiecko;JO90HQ;SR9LC;;438,700000;DUP-;7,600000;FM;TONE;71,9Hz;Yes;Approximate;50,690000;18,640000;+1:00;438,70000000
48;Poland;Pasierbiec;KN09ES;SR9LI;;438,675000;DUP-;7,600000;FM;OFF;;Yes;Approximate;49,770000;20,380000;+1:00;438,67500000
48;Poland;KrynicaZdroj;KN09KK;SR9NJ;;438,700000;DUP-;7,600000;FM;TONE;103,5Hz;Yes;Approximate;49,410000;20,890000;+1:00;438,70000000
48;Poland;GoraPrzehyba;KN09GL;SR9NP;;438,937500;DUP-;7,600000;FM;TONE;107,2Hz;Yes;Approximate;49,460000;20,550000;+1:00;438,93750000
48;Poland;NowySacz;KN09IP;SR9NS;;439,225000;DUP-;7,600000;FM;TONE;107,2Hz;Yes;Approximate;49,630000;20,730000;+1:00;439,22500000
48;Poland;Dabrowa;KO00CA;SR9OA;;438,750000;DUP-;7,600000;FM;TONE;107,2Hz;Yes;Approximate;50,000000;20,240000;+1:00;438,75000000
48;Poland;GoraKoskowa;JN99VS;SR9P;;145,662500;DUP-;0,600000;FM;TONE;103,5Hz;Yes;Approximate;49,750000;19,780000;+1:00;145,66250000
48;Poland;GoraKoskowa;JN99VS;SR9PC;;438,850000;DUP-;7,600000;FM;TONE;103,5Hz;Yes;Approximate;49,750000;19,780000;+1:00;438,85000000
48;Poland;Pszow;JO90EA;SR9PS;;439,250000;DUP-;7,600000;FM;TONE;67,0Hz;Yes;Approximate;50,030000;18,400000;+1:00;439,25000000
48;Poland;Mordarka;KN09FR;SR9RT;;145,637500;DUP-;0,600000;FM;TONE;103,5Hz;Yes;Approximate;49,710000;20,450000;+1:00;145,63750000
48;Poland;Wola;JO90NA;SR9S;;145,775000;DUP-;0,600000;FM;TONE;67,0Hz;Yes;Approximate;50,010000;19,100000;+1:00;145,77500000
48;Poland;Wola;JO90NA;SR9S;;439,412500;DUP-;7,600000;FM;TONE;67,0Hz;Yes;Approximate;50,010000;19,100000;+1:00;439,41250000
48;Poland;Cieszyn;JN99HR;SR9SC;;438,962500;DUP-;7,600000;FM;TONE;67,0Hz;Yes;Approximate;49,730000;18,630000;+1:00;438,96250000
48;Poland;Skrzyczne;JN99MQ;SR9SK;;439,375000;DUP-;7,600000;FM;TONE;67,0Hz;Yes;Approximate;49,680000;19,020000;+1:00;439,37500000
48;Poland;SiemianowiceSlaskie;JO90MH;SR9SS;;439,100000;DUP-;7,600000;FM;TONE;71,9Hz;Yes;Approximate;50,290000;19,000000;+1:00;439,10000000
48;Poland;GoraWal;KN09KV;SR9TB;;438,775000;DUP-;7,600000;FM;TONE;103,5Hz;Yes;Approximate;49,880000;20,910000;+1:00;438,77500000
48;Poland;PcimKudlacze;KN09AS;SR9TM;;438,512500;DUP-;7,600000;DV;TONE;103,5Hz;Yes;Approximate;49,780000;20,020000;+1:00;438,51250000
48;Poland;Wlodowice;JO90RN;SR9UV;;439,337500;DUP-;7,600000;DV;OFF;;Yes;Approximate;50,550000;19,470000;+1:00;439,33750000
48;Poland;KrynicaZdroj;KN09KK;SR9UVJ B;SR9UVJ G;439,500000;DUP-;7,600000;DV;OFF;;Yes;Approximate;49,410000;20,890000;+1:00;439,50000000
48;Poland;KrynicaZdroj;KN09KK;SR9UVJ C;SR9UVJ G;145,787500;DUP-;0,600000;DV;OFF;;Yes;Approximate;49,410000;20,890000;+1:00;145,78750000
48;Poland;GoraKoskowa;JN99VS;SR9UVP;;439,362500;DUP-;7,600000;DV;OFF;;Yes;Approximate;49,750000;19,780000;+1:00;439,36250000
48;Poland;GoraGubalowka;JN99XH;SR9UVZ;;439,200000;DUP-;7,600000;DV;OFF;;Yes;Approximate;49,300000;19,930000;+1:00;439,20000000
48;Poland;Lichwin;KN09LV;SR9VVO;;439,437500;DUP-;7,600000;DV;OFF;;Yes;Approximate;49,890000;20,920000;+1:00;439,43750000
48;Poland;GoraGubalowka;JN99XH;SR9X;;145,700000;DUP-;0,600000;FM;OFF;;Yes;Approximate;49,300000;19,930000;+1:00;145,70000000
48;Poland;Przehyba;KN09GL;SR9Z;;145,737500;DUP-;0,600000;FM;TONE;107,2Hz;Yes;Approximate;49,460000;20,550000;+1:00;145,73750000
48;Poland;Koscielisko;JN99WG;SR9ZAC;;145,287500;DUP-;0,600000;FM;TONE;107,2Hz;Yes;Approximate;49,270000;19,870000;+1:00;145,28750000
48;Poland;GoraZar;JN99OS;SR9ZAR;;439,537500;DUP-;7,600000;FM;TONE;67,0Hz;Yes;Approximate;49,780000;19,220000;+1:00;439,53750000
48;Poland;Bedzin;JO90NH;SR9ZHP;;145,287500;DUP-;0,600000;FM;TONE;127,3Hz;Yes;Approximate;;;+1:00;145,28750000
